# 05ClusterAnalysis_DBS.R
%	 212
%	 14
% Key	Time	Country	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	ActiveCases	SeriousCritical	TotCases/1Mpop	Deaths/1Mpop	TotalTests	Tests/1Mpop	
190	2020-01-20	Taiwan	395	NaN	6	NaN	155	234	NaN	17	0.3	50703	2129
191	2020-03-15	Tanzania	88	NaN	4	NaN	11	73	NaN	1	7.0000000000000007E-2	NaN	NaN
192	2020-01-12	Thailand	2672	29	46	3	1593	1033	61	38	0.7	100498	1440
193	2020-03-20	Timor-Leste	8	NaN	NaN	NaN	1	7	NaN	6	NaN	NaN	NaN
194	2020-03-05	Togo	81	NaN	3	NaN	35	43	NaN	10	0.4	3036	367
195	2020-03-11	Trinidad and Tobago	114	NaN	8	NaN	20	86	NaN	81	6	1282	916
196	2020-03-01	Tunisia	780	NaN	35	NaN	43	702	89	66	3	13137	1112
197	2020-03-09	Turkey	69392	NaN	1518	NaN	5674	62200	1820	823	18	477716	5664
198	2020-03-22	Turks and Caicos	10	NaN	1	NaN	NaN	9	NaN	258	26	71	1834
199	2020-01-28	UAE	5365	NaN	33	NaN	1034	4298	1	542	3	767000	77550
200	2020-03-20	Uganda	55	NaN	NaN	NaN	12	43	NaN	1	NaN	7693	168
201	2020-01-30	UK	98476	NaN	12868	NaN	N/A	85264	1559	1451	190	398916	5876
202	2020-03-02	Ukraine	4161	397	116	8	186	3859	45	95	3	42823	979
203	2020-03-12	Uruguay	493	NaN	9	NaN	272	212	13	142	3	10448	3008
204	2020-01-20	USA	644348	259	28554	25	48708	567086	13487	1947	86	3258879	9845
205	2020-03-14	Uzbekistan	1349	47	4	NaN	107	1238	8	40	0.1	70000	2091
206	2020-03-05	Vatican City	8	NaN	NaN	NaN	2	6	NaN	9988	NaN	NaN	NaN
207	2020-03-12	Venezuela	197	NaN	9	NaN	111	77	6	7	0.3	225009	7913
208	2020-01-22	Vietnam	268	NaN	NaN	NaN	171	97	8	3	NaN	135938	1397
209	2020-04-08	Western Sahara	6	NaN	NaN	NaN	NaN	6	NaN	10	NaN	NaN	NaN
210	2020-04-10	Yemen	1	NaN	NaN	NaN	NaN	1	NaN	0.03	NaN	NaN	NaN
211	2020-03-17	Zambia	48	NaN	2	NaN	30	16	1	3	0.1	1696	92
212	2020-03-19	Zimbabwe	23	NaN	3	NaN	1	19	NaN	2	0.2	716	48
